,RunId,iteration,Step,num_agents,num_supportive,stigma_level,support_effectiveness,acceptance_probability,refusal_gets_worse_probability,Average Depression,Mild Count,Moderate Count,Severe Count
128,128,0,50,50,10,0.3,0.7,0.3,0.3,0.64,30,8,12
129,130,0,50,50,10,0.3,0.7,0.3,0.7,1.04,18,12,20
130,131,0,50,50,10,0.3,0.7,0.3,0.9,1.08,18,10,22
131,129,0,50,50,10,0.3,0.7,0.3,0.5,0.78,26,9,15
132,132,0,50,50,10,0.3,0.7,0.5,0.3,0.44,36,6,8
133,133,0,50,50,10,0.3,0.7,0.5,0.5,0.44,35,8,7
134,134,0,50,50,10,0.3,0.7,0.5,0.7,0.68,30,6,14
135,135,0,50,50,10,0.3,0.7,0.5,0.9,1.08,18,10,22
136,137,0,50,50,10,0.3,0.7,0.7,0.5,0.5,33,9,8
137,138,0,50,50,10,0.3,0.7,0.7,0.7,0.42,35,9,6
138,136,0,50,50,10,0.3,0.7,0.7,0.3,0.34,39,5,6
139,140,0,50,50,10,0.3,0.7,0.9,0.3,0.3,40,5,5
140,139,0,50,50,10,0.3,0.7,0.7,0.9,0.78,25,11,14
141,141,0,50,50,10,0.3,0.7,0.9,0.5,0.28,40,6,4
142,142,0,50,50,10,0.3,0.7,0.9,0.7,0.6,30,10,10
143,143,0,50,50,10,0.3,0.7,0.9,0.9,0.62,34,1,15
144,144,0,50,50,10,0.3,0.9,0.3,0.3,0.74,28,7,15
145,145,0,50,50,10,0.3,0.9,0.3,0.5,0.84,23,12,15
146,149,0,50,50,10,0.3,0.9,0.5,0.5,0.78,25,11,14
147,150,0,50,50,10,0.3,0.9,0.5,0.7,0.66,30,7,13
148,146,0,50,50,10,0.3,0.9,0.3,0.7,1.16,17,8,25
149,147,0,50,50,10,0.3,0.9,0.3,0.9,1.24,16,6,28
150,151,0,50,50,10,0.3,0.9,0.5,0.9,0.9,23,9,18
151,148,0,50,50,10,0.3,0.9,0.5,0.3,0.4,36,8,6
152,152,0,50,50,10,0.3,0.9,0.7,0.3,0.36,40,2,8
153,154,0,50,50,10,0.3,0.9,0.7,0.7,0.54,34,5,11
154,153,0,50,50,10,0.3,0.9,0.7,0.5,0.38,37,7,6
155,156,0,50,50,10,0.3,0.9,0.9,0.3,0.18,43,5,2
156,155,0,50,50,10,0.3,0.9,0.7,0.9,0.66,30,7,13
157,158,0,50,50,10,0.3,0.9,0.9,0.7,0.64,29,10,11
158,157,0,50,50,10,0.3,0.9,0.9,0.5,0.38,37,7,6
159,159,0,50,50,10,0.3,0.9,0.9,0.9,0.38,35,11,4
160,160,0,50,50,10,0.5,0.1,0.3,0.3,0.88,23,10,17
161,161,0,50,50,10,0.5,0.1,0.3,0.5,0.72,24,16,10
162,162,0,50,50,10,0.5,0.1,0.3,0.7,0.84,21,16,13
163,163,0,50,50,10,0.5,0.1,0.3,0.9,1.26,11,15,24
164,165,0,50,50,10,0.5,0.1,0.5,0.5,0.68,26,14,10
165,164,0,50,50,10,0.5,0.1,0.5,0.3,0.66,26,15,9
166,168,0,50,50,10,0.5,0.1,0.7,0.3,0.76,24,14,12
167,167,0,50,50,10,0.5,0.1,0.5,0.9,0.86,21,15,14
168,170,0,50,50,10,0.5,0.1,0.7,0.7,0.7,26,13,11
169,166,0,50,50,10,0.5,0.1,0.5,0.7,0.68,25,16,9
170,169,0,50,50,10,0.5,0.1,0.7,0.5,0.72,26,12,12
171,171,0,50,50,10,0.5,0.1,0.7,0.9,1.04,18,12,20
172,172,0,50,50,10,0.5,0.1,0.9,0.3,0.56,33,6,11
173,174,0,50,50,10,0.5,0.1,0.9,0.7,0.64,30,8,12
174,173,0,50,50,10,0.5,0.1,0.9,0.5,0.58,29,13,8
175,175,0,50,50,10,0.5,0.1,0.9,0.9,0.7,25,15,10
176,176,0,50,50,10,0.5,0.3,0.3,0.3,0.66,29,9,12
177,177,0,50,50,10,0.5,0.3,0.3,0.5,0.76,23,16,11
178,178,0,50,50,10,0.5,0.3,0.3,0.7,0.84,21,16,13
179,182,0,50,50,10,0.5,0.3,0.5,0.7,0.82,22,15,13
180,179,0,50,50,10,0.5,0.3,0.3,0.9,1.08,17,12,21
181,180,0,50,50,10,0.5,0.3,0.5,0.3,0.3,38,9,3
182,183,0,50,50,10,0.5,0.3,0.5,0.9,1.06,11,25,14
183,181,0,50,50,10,0.5,0.3,0.5,0.5,0.64,28,12,10
184,186,0,50,50,10,0.5,0.3,0.7,0.7,0.76,23,16,11
185,184,0,50,50,10,0.5,0.3,0.7,0.3,0.52,32,10,8
186,185,0,50,50,10,0.5,0.3,0.7,0.5,0.46,35,7,8
187,188,0,50,50,10,0.5,0.3,0.9,0.3,0.64,29,10,11
188,189,0,50,50,10,0.5,0.3,0.9,0.5,0.68,28,10,12
189,187,0,50,50,10,0.5,0.3,0.7,0.9,0.64,25,18,7
190,190,0,50,50,10,0.5,0.3,0.9,0.7,0.4,35,10,5
191,191,0,50,50,10,0.5,0.3,0.9,0.9,0.56,30,12,8
192,193,0,50,50,10,0.5,0.5,0.3,0.5,0.78,21,19,10
193,192,0,50,50,10,0.5,0.5,0.3,0.3,0.68,30,6,14
194,194,0,50,50,10,0.5,0.5,0.3,0.7,0.98,21,9,20
195,196,0,50,50,10,0.5,0.5,0.5,0.3,0.5,34,7,9
196,197,0,50,50,10,0.5,0.5,0.5,0.5,0.62,28,13,9
197,200,0,50,50,10,0.5,0.5,0.7,0.3,0.5,34,7,9
198,195,0,50,50,10,0.5,0.5,0.3,0.9,1.16,15,12,23
199,198,0,50,50,10,0.5,0.5,0.5,0.7,0.68,27,12,11
200,199,0,50,50,10,0.5,0.5,0.5,0.9,0.74,25,13,12
201,201,0,50,50,10,0.5,0.5,0.7,0.5,0.34,38,7,5
202,202,0,50,50,10,0.5,0.5,0.7,0.7,0.34,38,7,5
203,205,0,50,50,10,0.5,0.5,0.9,0.5,0.48,33,10,7
204,203,0,50,50,10,0.5,0.5,0.7,0.9,0.52,30,14,6
205,204,0,50,50,10,0.5,0.5,0.9,0.3,0.34,39,5,6
206,207,0,50,50,10,0.5,0.5,0.9,0.9,0.54,32,9,9
207,206,0,50,50,10,0.5,0.5,0.9,0.7,0.22,41,7,2
208,208,0,50,50,10,0.5,0.7,0.3,0.3,0.48,34,8,8
209,209,0,50,50,10,0.5,0.7,0.3,0.5,0.72,25,14,11
210,210,0,50,50,10,0.5,0.7,0.3,0.7,1.02,17,15,18
211,211,0,50,50,10,0.5,0.7,0.3,0.9,1.22,16,7,27
212,213,0,50,50,10,0.5,0.7,0.5,0.5,0.62,29,11,10
213,212,0,50,50,10,0.5,0.7,0.5,0.3,0.54,31,11,8
214,216,0,50,50,10,0.5,0.7,0.7,0.3,0.4,35,10,5
215,214,0,50,50,10,0.5,0.7,0.5,0.7,0.84,27,4,19
216,215,0,50,50,10,0.5,0.7,0.5,0.9,1.16,16,10,24
217,217,0,50,50,10,0.5,0.7,0.7,0.5,0.64,29,10,11
218,218,0,50,50,10,0.5,0.7,0.7,0.7,0.52,31,12,7
219,219,0,50,50,10,0.5,0.7,0.7,0.9,0.54,30,13,7
220,220,0,50,50,10,0.5,0.7,0.9,0.3,0.48,36,4,10
221,221,0,50,50,10,0.5,0.7,0.9,0.5,0.28,41,4,5
222,222,0,50,50,10,0.5,0.7,0.9,0.7,0.3,39,7,4
223,223,0,50,50,10,0.5,0.7,0.9,0.9,0.36,36,10,4
224,224,0,50,50,10,0.5,0.9,0.3,0.3,0.72,27,10,13
225,225,0,50,50,10,0.5,0.9,0.3,0.5,0.82,25,9,16
226,226,0,50,50,10,0.5,0.9,0.3,0.7,0.84,21,16,13
227,229,0,50,50,10,0.5,0.9,0.5,0.5,0.68,26,14,10
228,228,0,50,50,10,0.5,0.9,0.5,0.3,0.34,36,11,3
229,230,0,50,50,10,0.5,0.9,0.5,0.7,1.02,19,11,20
230,227,0,50,50,10,0.5,0.9,0.3,0.9,0.96,19,14,17
231,231,0,50,50,10,0.5,0.9,0.5,0.9,0.9,23,9,18
232,233,0,50,50,10,0.5,0.9,0.7,0.5,0.46,36,5,9
233,232,0,50,50,10,0.5,0.9,0.7,0.3,0.42,35,9,6
234,234,0,50,50,10,0.5,0.9,0.7,0.7,0.74,24,15,11
235,235,0,50,50,10,0.5,0.9,0.7,0.9,0.72,26,12,12
236,236,0,50,50,10,0.5,0.9,0.9,0.3,0.34,39,5,6
237,238,0,50,50,10,0.5,0.9,0.9,0.7,0.46,35,7,8
238,237,0,50,50,10,0.5,0.9,0.9,0.5,0.4,37,6,7
239,239,0,50,50,10,0.5,0.9,0.9,0.9,0.48,35,6,9
240,240,0,50,50,10,0.7,0.1,0.3,0.3,0.98,18,15,17
241,241,0,50,50,10,0.7,0.1,0.3,0.5,0.9,18,19,13
242,244,0,50,50,10,0.7,0.1,0.5,0.3,0.96,16,20,14
243,242,0,50,50,10,0.7,0.1,0.3,0.7,0.92,18,18,14
244,243,0,50,50,10,0.7,0.1,0.3,0.9,0.9,19,17,14
245,245,0,50,50,10,0.7,0.1,0.5,0.5,0.82,24,11,15
246,246,0,50,50,10,0.7,0.1,0.5,0.7,1.04,18,12,20
247,247,0,50,50,10,0.7,0.1,0.5,0.9,0.8,23,14,13
248,248,0,50,50,10,0.7,0.1,0.7,0.3,0.88,22,12,16
249,250,0,50,50,10,0.7,0.1,0.7,0.7,0.76,22,18,10
250,249,0,50,50,10,0.7,0.1,0.7,0.5,0.44,33,12,5
251,252,0,50,50,10,0.7,0.1,0.9,0.3,0.76,24,14,12
252,254,0,50,50,10,0.7,0.1,0.9,0.7,0.78,24,13,13
253,253,0,50,50,10,0.7,0.1,0.9,0.5,1.12,16,12,22
254,255,0,50,50,10,0.7,0.1,0.9,0.9,0.86,22,13,15
255,251,0,50,50,10,0.7,0.1,0.7,0.9,0.88,21,14,15
256,256,0,50,50,10,0.7,0.3,0.3,0.3,0.74,25,13,12
257,257,0,50,50,10,0.7,0.3,0.3,0.5,0.5,34,7,9
258,258,0,50,50,10,0.7,0.3,0.3,0.7,0.96,17,18,15
259,259,0,50,50,10,0.7,0.3,0.3,0.9,1.08,14,18,18
